"id","export_config_id:id","sequence","name","export_type","size","decimal_size","alignment","apply_sign","negative_sign","positive_sign","bool_no","bool_yes","expression","fixed_value","conditional_expression","repeat_expression","subconfig_id/id"
"aeat_mod303_2024_10_sub01_export_line_01","aeat_mod303_2024_10_sub01_export_config",1,"Constante: <T","string",2,0,"left",1,"N",0," ","X",,"<T",,,
"aeat_mod303_2024_10_sub01_export_line_02","aeat_mod303_2024_10_sub01_export_config",2,"Modelo: 303","string",3,0,"left",1,"N",0," ","X",,303,,,
"aeat_mod303_2024_10_sub01_export_line_03","aeat_mod303_2024_10_sub01_export_config",3,"Constante: 01000","string",5,0,"left",1,"N",0," ","X",,"01000",,,
"aeat_mod303_2024_10_sub01_export_line_04","aeat_mod303_2024_10_sub01_export_config",4,"Constante: >","string",1,0,"left",1,"N",0," ","X",,">",,,
"aeat_mod303_2024_10_sub01_export_line_05","aeat_mod303_2024_10_sub01_export_config",5,"Indicador de página complementaria","string",1,0,"left",1,"N",0," ","X",,,,,
"aeat_mod303_2024_10_sub01_export_line_06","aeat_mod303_2024_10_sub01_export_config",6,"Tipo de declaración","string",1,0,"left",1,"N",0," ","X","${object.result_type}",,,,
"aeat_mod303_2024_10_sub01_export_line_07","aeat_mod303_2024_10_sub01_export_config",7,"Identificación: NIF","string",9,0,"left",1,"N",0," ","X","${object.company_vat}",,,,
"aeat_mod303_2024_10_sub01_export_line_08","aeat_mod303_2024_10_sub01_export_config",8,"Identificación: Apellidos y nombre o Razón social","string",80,0,"left",1,"N",0," ","X","${object.company_id.name}",,,,
"aeat_mod303_2024_10_sub01_export_line_09","aeat_mod303_2024_10_sub01_export_config",9,"Devengo: Ejercicio","string",4,0,"left",1,"N",0," ","X","${object.year}",,,,
"aeat_mod303_2024_10_sub01_export_line_10","aeat_mod303_2024_10_sub01_export_config",10,"Devengo: Periodo","string",2,0,"left",1,"N",0," ","X","${object.period_type}",,,,
