"id","export_config_id:id","sequence","name","export_type","size","decimal_size","alignment","apply_sign","bool_no","bool_yes","expression","fixed_value","conditional_expression","subconfig_id/id"
"aeat_mod123_2024_sub01_export_line_01","aeat_mod123_2024_sub01_export_config",1,"Constante: <T","string",2,,"left",,,,,"<T",,
"aeat_mod123_2024_sub01_export_line_02","aeat_mod123_2024_sub01_export_config",2,"Constante: 123","string",3,,"left",,,,,"123",,
"aeat_mod123_2024_sub01_export_line_03","aeat_mod123_2024_sub01_export_config",3,"Constante: 01","string",2,,"left",,,,,"01",,
"aeat_mod123_2024_sub01_export_line_04","aeat_mod123_2024_sub01_export_config",4,"Constante: 000>","string",4,,"left",,,,,"000>",,
"aeat_mod123_2024_sub01_export_line_05","aeat_mod123_2024_sub01_export_config",5,"Indicador de página complementaria: En blanco","string",1,,"left",,,,,,,
"aeat_mod123_2024_sub01_export_line_06","aeat_mod123_2024_sub01_export_config",6,"Tipo de declaración","string",1,,"left",,,,"${object.tipo_declaracion}",,,
"aeat_mod123_2024_sub01_export_line_07","aeat_mod123_2024_sub01_export_config",7,"Identificación: NIF","string",9,,"left",,,,"${object.company_vat}",,,
"aeat_mod123_2024_sub01_export_line_08","aeat_mod123_2024_sub01_export_config",8,"Identificación: Denominación o Apellidos y Nombre","string",80,,"left",,,,"${object.company_id.name}",,,
"aeat_mod123_2024_sub01_export_line_09","aeat_mod123_2024_sub01_export_config",9,"Identificación: Ejercicio","string",4,,"left",,,,"${object.year}",,,
"aeat_mod123_2024_sub01_export_line_10","aeat_mod123_2024_sub01_export_config",10,"Identificación: Periodo","string",2,,"left",,,,"${object.period_type}",,,
"aeat_mod123_2024_sub01_export_line_11","aeat_mod123_2024_sub01_export_config",11,"Liquidación(3). Número de rentas. Dividendos y otras rentas (...) [01]","integer",15,,"right",,,,"${object.casilla_01_2024}",,,
"aeat_mod123_2024_sub01_export_line_12","aeat_mod123_2024_sub01_export_config",12,"Liquidación(3). Número de rentas. Resto de rentas [02]","integer",15,,"right",,,,"${object.casilla_02_2024}",,,
"aeat_mod123_2024_sub01_export_line_13","aeat_mod123_2024_sub01_export_config",13,"Liquidación(3). Número de rentas. Totales [03]","integer",15,,"right",,,,"${object.casilla_03_2024}",,,
