id,export_config_id:id,sequence,name,export_type,size,decimal_size,alignment,apply_sign,negative_sign,positive_sign,bool_no,bool_yes,expression,fixed_value,conditional_expression,repeat_expression,subconfig_id/id
aeat_mod322_2023_main_export_line_01,aeat_mod322_2023_main_export_config,1,Constante: <T,string,2,0,left,1,N,0, ,X,,<T,,,
aeat_mod322_2023_main_export_line_02,aeat_mod322_2023_main_export_config,2,Modelo: 322,string,3,0,left,1,N,0, ,X,,322,,,
aeat_mod322_2023_main_export_line_03,aeat_mod322_2023_main_export_config,3,Discriminante,string,1,0,left,1,N,0, ,X,,0,,,
aeat_mod322_2023_main_export_line_04,aeat_mod322_2023_main_export_config,4,Ejercicio devengo: AAAA,string,4,0,left,1,N,0, ,X,${object.year},,,,
aeat_mod322_2023_main_export_line_05,aeat_mod322_2023_main_export_config,5,Periodo: PP,string,2,0,left,1,N,0, ,X,${object.period_type},,,,
aeat_mod322_2023_main_export_line_06,aeat_mod322_2023_main_export_config,6,Tipo y cierre,string,5,0,left,1,N,0, ,X,,0000>,,,
aeat_mod322_2023_main_export_line_07,aeat_mod322_2023_main_export_config,7,Constante: <AUX>,string,5,0,left,1,N,0, ,X,,<AUX>,,,
aeat_mod322_2023_main_export_line_08,aeat_mod322_2023_main_export_config,8,Reservado para la Administración: Rellenar con blancos,string,70,0,left,1,N,0, ,X,,,,,
aeat_mod322_2023_main_export_line_09,aeat_mod322_2023_main_export_config,9,Versión del Programa: ,string,4,0,left,1,N,0, ,X,,odoo,,,
aeat_mod322_2023_main_export_line_10,aeat_mod322_2023_main_export_config,10,Reservado para la Administración: Rellenar con blancos,string,4,0,left,1,N,0, ,X,,,,,
aeat_mod322_2023_main_export_line_11,aeat_mod322_2023_main_export_config,11,NIF Empresa Desarrollo,string,9,0,left,1,N,0, ,X,,G87846952,,,
aeat_mod322_2023_main_export_line_12,aeat_mod322_2023_main_export_config,12,Reservado para la Administración: Rellenar con blancos,string,213,0,left,1,N,0, ,X,,,,,
