"id","export_config_id:id","sequence","name","export_type","size","decimal_size","alignment","apply_sign","bool_no","bool_yes","expression","fixed_value","conditional_expression","subconfig_id/id"
"aeat_mod123_sub01_export_line_01","aeat_mod123_sub01_export_config",1,"Constante: <T","string",2,,"left",,,,,"<T",,
"aeat_mod123_sub01_export_line_02","aeat_mod123_sub01_export_config",2,"Constante: 123","string",3,,"left",,,,,"123",,
"aeat_mod123_sub01_export_line_03","aeat_mod123_sub01_export_config",3,"Constante: 01","string",2,,"left",,,,,"01",,
"aeat_mod123_sub01_export_line_04","aeat_mod123_sub01_export_config",4,"Constante: 000>","string",4,,"left",,,,,"000>",,
"aeat_mod123_sub01_export_line_05","aeat_mod123_sub01_export_config",5,"Indicador de página complementaria: En blanco","string",1,,"left",,,,,,,
"aeat_mod123_sub01_export_line_06","aeat_mod123_sub01_export_config",6,"Tipo de declaración","string",1,,"left",,,,"${object.tipo_declaracion}",,,
"aeat_mod123_sub01_export_line_07","aeat_mod123_sub01_export_config",7,"Identificación: NIF","string",9,,"left",,,,"${object.company_vat}",,,
"aeat_mod123_sub01_export_line_08","aeat_mod123_sub01_export_config",8,"Identificación: Denominación o Apellidos","string",60,,"left",,,,"${object.company_id.name}",,,
"aeat_mod123_sub01_export_line_09","aeat_mod123_sub01_export_config",9,"Identificación: Nombre","string",20,,"left",,,,"${object.company_id.name if object.company_vat[0].isdigit() else ''}",,,
"aeat_mod123_sub01_export_line_10","aeat_mod123_sub01_export_config",10,"Identificación: Ejercicio","string",4,,"left",,,,"${object.year}",,,
"aeat_mod123_sub01_export_line_11","aeat_mod123_sub01_export_config",11,"Identificación: Periodo","string",2,,"left",,,,"${object.period_type}",,,
"aeat_mod123_sub01_export_line_12","aeat_mod123_sub01_export_config",12,"Liquidación(3). Retenciones e ingresos a cuenta. Número perceptores [01]","integer",15,,"right",,,,"${object.casilla_01}",,,
"aeat_mod123_sub01_export_line_13","aeat_mod123_sub01_export_config",13,"Liquidación(3). Retenciones e ingresos a cuenta. Base retenciones e ingresos a cuenta [02]","float",17,2,"right",1,,,"${object.casilla_02}",,,
"aeat_mod123_sub01_export_line_14","aeat_mod123_sub01_export_config",14,"Liquidación(3). Retenciones e ingresos a cuenta. Retenciones e ingresos a cuenta, [03]","float",17,2,"right",1,,,"${object.casilla_03}",,,
"aeat_mod123_sub01_export_line_15","aeat_mod123_sub01_export_config",15,"Liquidación(3). Periodificaci—n. Ingresos ejercicios anteriores. [04]","float",17,2,"right",1,,,"${object.casilla_04}",,,
"aeat_mod123_sub01_export_line_16","aeat_mod123_sub01_export_config",16,"Liquidación(3). Periodificaci—n. Regularizaci—n. [05]","float",17,2,"right",1,,,"${object.casilla_05}",,,
"aeat_mod123_sub01_export_line_17","aeat_mod123_sub01_export_config",17,"Liquidación(3). Total Liquidación. Suma de retenciones e ingresos a cuenta y regularizaci—n. [03] + [05]","float",17,2,"right",1,,,"${object.casilla_06}",,,
"aeat_mod123_sub01_export_line_18","aeat_mod123_sub01_export_config",18,"Liquidación(3). Total Liquidación. Resultado de anteriores declaraciones. [07]","float",17,2,"right",1,,,"${object.casilla_07}",,,
"aeat_mod123_sub01_export_line_19","aeat_mod123_sub01_export_config",19,"Liquidación(3). Total Liquidación. Resultado a ingresar. [08]","float",17,2,"right",1,,,"${object.casilla_08}",,,
"aeat_mod123_sub01_export_line_20","aeat_mod123_sub01_export_config",20,"declaración complementaria","boolean",1,,"left",," ","X","${object.statement_type == 'C'}",,,
"aeat_mod123_sub01_export_line_21","aeat_mod123_sub01_export_config",21,"Número de justificante de la declaración anterior","string",13,,"left",,,,"${object.previous_number if object.statement_type == 'C' else ''}",,,
"aeat_mod123_sub01_export_line_22","aeat_mod123_sub01_export_config",22,"Domiciliación IBAN","string",34,,"left",,,,,,,
"aeat_mod123_sub01_export_line_23","aeat_mod123_sub01_export_config",23,"Reservado AEAT","string",185,,"left",,,,,,,
"aeat_mod123_sub01_export_line_24","aeat_mod123_sub01_export_config",24,"Reservado para la Administración. Sello electronico","string",13,,"left",,,,,,,
"aeat_mod123_sub01_export_line_25","aeat_mod123_sub01_export_config",25,"Indicador de fin de registro","string",12,,"left",,,,,"</T12301000>",,
"aeat_mod123_main_export_line_01","aeat_mod123_main_export_config",1,"Constante: <T","string",2,,"left",,,,,"<T",,
"aeat_mod123_main_export_line_02","aeat_mod123_main_export_config",2,"Constante: 123","string",3,,"left",,,,,"123",,
"aeat_mod123_main_export_line_03","aeat_mod123_main_export_config",3,"Constante: 0","string",1,,"left",,,,,"0",,
"aeat_mod123_main_export_line_04","aeat_mod123_main_export_config",4,"Ejercicio devengo (AAAA)","string",4,,"left",,,,"${object.year}",,,
"aeat_mod123_main_export_line_05","aeat_mod123_main_export_config",5,"Periodo (PP)","string",2,,"left",,,,"${object.period_type}",,,
"aeat_mod123_main_export_line_06","aeat_mod123_main_export_config",6,"Constante: 0000>","string",5,,"left",,,,,"0000>",,
"aeat_mod123_main_export_line_07","aeat_mod123_main_export_config",7,"Constante: <AUX>","string",5,,"left",,,,,"<AUX>",,
"aeat_mod123_main_export_line_08","aeat_mod123_main_export_config",8,"Reservado para la Administración: Rellenar con blancos","string",70,,"left",,,,,,,
"aeat_mod123_main_export_line_09","aeat_mod123_main_export_config",9,"Versión del programa","string",4,,"left",,,,,"odoo",,
"aeat_mod123_main_export_line_10","aeat_mod123_main_export_config",10,"Reservado para la Administración. Rellenar con blancos","string",4,,"left",,,,,,,
"aeat_mod123_main_export_line_11","aeat_mod123_main_export_config",11,"NIF Empresa Desarrollo","string",9,,"left",,,,,"G87846952",,
"aeat_mod123_main_export_line_12","aeat_mod123_main_export_config",12,"Reservado para la Administración. Rellenar con blancos","string",213,,"left",,,,,,,
"aeat_mod123_main_export_line_13","aeat_mod123_main_export_config",13,"Constante: </AUX>","string",6,,"left",,,,,"</AUX>",,
"aeat_mod123_main_export_line_14","aeat_mod123_main_export_config",14,"Contenido del fichero [sub01]","subconfig",,,,,,,,,1,"aeat_mod123_sub01_export_config"
"aeat_mod123_main_export_line_15","aeat_mod123_main_export_config",15,"Constante: </T1230+Ejercicio+periodo+0000>","string",18,,"left",,,,"</T1230${object.year}${object.period_type}0000>",,,
"aeat_mod123_main_export_line_16","aeat_mod123_main_export_config",16,"Fin de Registro. Constante CRLF (Hexadecimal 0D0A, Decimal 1310)","string",2,,"left",,,,"${""\r\n"".encode(""ascii"")}",,,
