codigo, decripcion
1, Financiación Básica
10, Capital
100, Capital social
101, Fondo social
102, Capital
103, Socios por desembolsos no exigidos...
104, Socios por aportaciones no dinerarias pendientes...
108, Acciones o participaciones propias en situaciones especiales
109, Acciones o participaciones propias para reducción de capital
11, Reservas
110, Prima de emisión o asunción
111, Patrimonio neto por emisión de instrumentos financieros compuestos
112, Reserva legal
113, Reservas voluntarias
114, Reservas especiales
115, Reservas por pérdidas y ganancias actuariales y otros ajustes
118, Aportaciones de socios o propietarios
119, Diferencias por ajuste del capital a euros
12, Resultados pendientes de aplicación
120, Remanente
121, Resultados negativos de ejercicios anteriores
129, Resultados del ejercicio
13, Subvenciones, donaciones y ajustes por cambios de valor
130, Subvenciones oficiales de capital
131, Donaciones y legados de capital
132, Otras subvenciones, donaciones y legados
133, Ajustes por valoración en instrumentos financieros
134, Operaciones de cobertura
135, Diferencias de conversión
136, Ajustes por valoración en activos no corrientes y grupos enajenables de elementos mantenidos para la venta
137, Ingresos fiscales a distribuir en varios ejercicios
14, Provisiones
140, Provisión para retribuciones y otras prestaciones al personal,
141, Provisión para impuestos
142, Provisión para otras responsabilidades
143, Provisión por desmantelamiento, retiro o rehabilitación del inmovilizado,
145, Provisión para actuaciones medioambientales
146, Provisión para reestructuraciones
147, Provisiones por transacciones con pagos basados en instrumentos de patrimonio
15, Deudas a largo plazo con características especiales
150, Acciones o participaciones a largo plazo contabilizadas como pasivo
153, Desembolsos no exigidos por acciones o participaciones contabilizadas como pasivo,
154, Aportaciones no dinerarias pendientes por acciones o participaciones contabilizadas como pasivo
16, Deudas a largo plazo con partes vinculadas
160, Deudas a largo plazo con entidades de crédito vinculadas
161, Proveedores de inmovilizado a largo plazo, partes vinculadas
162, Acreedores por arrendamiento financiero a largo plazo, partes vinculadas
163, Otras deudas a largo plazo con partes vinculadas
17, Deudas a largo plazo por préstamos recibidos y otros conceptos
170, Deudas a largo plazo con entidades de crédito
171, Deudas a largo plazo
172, Deudas a largo plazo transformables en subvenciones, donaciones y legados
173, Proveedores de inmovilizado a largo plazo
174, Acreedores de arrendamiento financiero a largo plazo
175, Efectos a pagar a largo plazo
176, Pasivos por derivados financieros a largo plazo
177, Obligaciones y bonos
178, Obligaciones y bonos convertibles
179, Deudas representadas en otros valores negociables
18, Pasivos por fianzas y garantías y otros conceptos a largo plazo
180, Fianzas recibidas a largo plazo
181, Anticipos recibidos por ventas o prestaciones de servicios a largo plazo
185, Depósitos recibidos a largo plazo
189, Garantías financieras a largo plazo
19, Situaciones transitorias de financiación
190, Acciones o participaciones emitidas
192, Suscriptores de acciones
194, Capital emitido pendiente de inscripción
195, Acciones o participaciones emitidas consideradas como pasivos financieros
197, Suscriptores de acciones consideradas como pasivos financieros
199, Acciones o participaciones emitidas consideradas como pasivos financieros pendientes de inscripción
2, Activo no corriente
20, Inmovilizaciones intangibles
200, Gastos de investigación
201, Desarrollo
202, Concesiones administrativas
203, Propiedad industrial
204, Fondo de comercio
205, Derechos de traspaso
206, Aplicaciones informáticas
209, Anticipos para inmovilizaciones intangibles
21, Inmovilizaciones materiales
210, Terrenos y bienes naturales
211, Construcciones
212, Instalaciones técnicas
213, Maquinaria
214, Utillaje
215, Otras instalaciones
216, Mobiliario
217, Equipos para procesos de información
218, Elementos de transporte
219, Otro inmovilizado material
22, Inversiones Inmobiliarias
220, Inversiones en terrenos y bienes naturales
221, Inversiones en construcciones
23, Inmovilzaciones materiales en curso
230, Inmovilizaciones materiales en curso
237, Inmovilizaciones materiales en curso
239, Anticipos para inmovilizaciones materiales
24, Inversiones financieras a largo plazo en partes vinculadas
240, Participaciones a largo plazo en partes vinculadas
2403, Participación a largo plazo en empresas del grupo
2404, Participación a largo plazo en empresas asociadas
2405, Participaciones a largo plazo en otras partes vinculadas
241, Valores representativos de deuda a largo plazo de partes vinculadas
242, Créditos a largo plazo a partes vinculadas
249, Desembolsos pendientes sobre participaciones a largo plazo en partes vinculadas
25, Otras inversiones financieras a largo plazo
250, Inversiones financieras a largo plazo en instrumentos de patrimonio
251, Valores representativos de deuda a largo plazo
252, Créditos a largo plazo
253, Créditos a largo plazo por enajenación de inmovilizado
254, Créditos a largo plazo al personal
255, Activos por derivados financieros a largo plazo
2550, Activos por derivados financieros a largo plazo, cartera de negociación
2553, Activos por derivados financieros a largo plazo, instrumentos de cobertura
257, Activos por retribuciones a largo plazo de prestación definida
258, Imposiciones a largo plazo
259, Desembolsos pendientes sobre participaciones en el patrimonio neto a largo plazo
26, Fianzas y depósitos constituidos a largo plazo
260, Fianzas constituidas a largo plazo
265, Depósitos constituidos a largo plazo
28, Amortización acumulada del inmovilizado
280, Amortización acumulada del inmovilizado intangible
281, Amortización acumulada del inmovilizado material
282, Amortización acumulada de las inversiones inmobiliarias
29, Deterioro de valor de activos no corrientes
290, Deterioro de valor del inmovilizado intangible
291, Deterioro de valor del inmovilizado material
292, Deterioro de valor de las inversiones inmobiliarias
293, Deterioro de valor de participaciones a largo plazo en partes vinculadas
294, Deterioro de valor de valores representativos de deuda a largo plazo de partes vinculadas
295, Deterioro de valor de créditos a largo plazo a partes vinculadas
296, Deterioro de valor de participaciones en el patrimonio neto a largo plazo,
297, Deterioro de valor de valores representativos de deuda a largo plazo
298, Deterioro de valor de créditos a largo plazo
3, Existencias
30, Comerciales
300, Comerciales
301, Comerciales
31, Materias primas
310, Materias Primas
311, Materias Primas
32, Otros aprovisionamientos
320, Elementos y conjuntos incorporables
321, Combustibles
322, Repuestos
325, Materiales diversos
326, Embalajes
327, Envases
328, Material de oficina
33, Productos en curso
330, Productos en curso
331, Productos en curso
34, Productos semiterminados
340, Productos semiterminados
341, Productos semiterminados
35, Productos terminados
350, Productos terminados
351, Productos terminados
36, Subproductos, residuos y materiales recuperados
360, Subproductos, residuos y materiales recuperados
369, Subproductos, residuos y materiales recuperados
39, Deterioro de valor de las existencias
390, Deterioro del valor de las existencias
396, Deterioro del valor de las existencias
4, Acreedores y deudores por operaciones comerciales
40, Proveedores
400, Proveedores
401, Proveedores, efectos comerciales a pagar
403, Proveedores, empresas del grupo
404, Proveedores, empresas asociadas
405, Proveedores, otras partes vinculadas
406, Envases y embalajes a devolver a proveedores
407, Anticipos a proveedores
41, Acreedores varios
410, Acreedores por prestaciones de servicios
411, Acreedores, efectos comerciales a pagar
419, Acreedores por operaciones en común
43, Clientes
430, Clientes
431, Clientes, efectos comerciales a cobrar
432, Clientes operaciones de factoring
433, Clientes, empresas del grupo
434, Clientes, empresas asociadas
