"id","name","name@es","name@ca","code","account_type","reconcile"
"account_full_canary_100","Capital social","Capital social","Capital social","100","liability_non_current","False"
"account_full_canary_103","Socios por desembolsos no exigidos, capital social","Socios por desembolsos no exigidos, capital social","Socios por desembolsos no exigidos, capital social","103","liability_non_current","False"
"account_full_canary_1034","Socios por desembolsos no exigidos, capital pendiente de inscripción","Socios por desembolsos no exigidos, capital pendiente de inscripción","Socios por desembolsos no exigidos, capital pendiente de inscripción","1034","liability_non_current","False"
"account_full_canary_104","Socios por aportaciones no dinerarias pendientes, capital social","Socios por aportaciones no dinerarias pendientes, capital social","Socios por aportaciones no dinerarias pendientes, capital social","104","liability_non_current","False"
"account_full_canary_1044","Socios por aportaciones no dinerarias pendientes, capital pendiente de inscripción","Socios por aportaciones no dinerarias pendientes, capital pendiente de inscripción","Socios por aportaciones no dinerarias pendientes, capital pendiente de inscripción","1044","liability_non_current","False"
"account_full_canary_111","Patrimonio neto por emision de instrumentos financieros compuestos","Patrimonio neto por emision de instrumentos financieros compuestos","Patrimonio neto por emision de instrumentos financieros compuestos","111","equity","False"
"account_full_canary_1111","Resto de instrumentos de patrimonio neto","Resto de instrumentos de patrimonio neto","Resto de instrumentos de patrimonio neto","1111","equity","False"
"account_full_canary_112","Legal reserve","Reserva legal","Reserva legal","112","equity","False"
"account_full_canary_113","Voluntary reserves","Reservas voluntarias","Reserves voluntàries","113","equity","False"
"account_full_canary_1143","Reserva por fondo de comercio","Reserva por fondo de comercio","Reserva por fondo de comercio","1143","equity","False"
"account_full_canary_115","Reservas por pérdidas y ganancias actuariales y otros ajustes","Reservas por pérdidas y ganancias actuariales y otros ajustes","Reservas por pérdidas y ganancias actuariales y otros ajustes","115","equity","False"
"account_full_canary_120","Remanente","Remanente","Remanente","120","liability_non_current","False"
"account_full_canary_121","Resultados negativos de ejercicios anteriores","Resultados negativos de ejercicios anteriores","Resultados negativos de ejercicios anteriores","121","liability_non_current","False"
"account_full_canary_129","Resultado del ejercicio","Resultado del ejercicio","Resultado del ejercicio","129","equity_unaffected","False"
"account_full_canary_130","Subvenciones oficiales de capital","Subvenciones oficiales de capital","Subvenciones oficiales de capital","130","liability_non_current","False"
"account_full_canary_132","Otras subvenciones, donaciones y legados","Otras subvenciones, donaciones y legados","Otras subvenciones, donaciones y legados","132","liability_non_current","False"
"account_full_canary_133","Ajustes por valoración en activos financieros disponibles para la venta","Ajustes por valoración en activos financieros disponibles para la venta","Ajustes por valoración en activos financieros disponibles para la venta","133","equity","False"
"account_full_canary_134","Cobertura de flujos de efectivo","Cobertura de flujos de efectivo","Cobertura de flujos de efectivo","134","equity","False"
"account_full_canary_1341","Cobertura de una inversión neta en un negocio en el extranjero","Cobertura de una inversión neta en un negocio en el extranjero","Cobertura de una inversión neta en un negocio en el extranjero","1341","equity","False"
"account_full_canary_135","Diferencias de conversión","Diferencias de conversión","Diferencias de conversión","135","equity","False"
"account_full_canary_136","Ajustes por valoración de activos no corrientes y grupos enajenables de elementos, mantenidos para la venta","Ajustes por valoración de activos no corrientes y grupos enajenables de elementos, mantenidos para la venta","Ajustes por valoración de activos no corrientes y grupos enajenables de elementos, mantenidos para la venta","136","equity","False"
"account_full_canary_140","Provisión por retribuciones del personal","Provisión por retribuciones del personal","Provisión por retribuciones del personal","140","liability_non_current","True"
"account_full_canary_146","Provisión para reestructuraciones","Provisión para reestructuraciones","Provisión para reestructuraciones","146","liability_non_current","True"
"account_full_canary_147","Provisión por transacciones con pagos basados en instrumentos de patrimonio","Provisión por transacciones con pagos basados en instrumentos de patrimonio","Provisión por transacciones con pagos basados en instrumentos de patrimonio","147","liability_non_current","True"
