id,map_parent_id:id,name,field_number,move_type,field_type,sum_type
aeat_mod369_map_line_0001,aeat_mod369_map,Régimen Unión - OSS País 1 - Base Imponible 1,1,all,base,both
aeat_mod369_map_line_0002,aeat_mod369_map,Régimen Unión - OSS País 1 - Cuota 1,2,all,amount,both
aeat_mod369_map_line_0003,aeat_mod369_map,Régimen Unión - OSS País 1 - Base Imponible 2,3,all,base,both
aeat_mod369_map_line_0004,aeat_mod369_map,Régimen Unión - OSS País 1 - Cuota 2,4,all,amount,both
aeat_mod369_map_line_0005,aeat_mod369_map,Régimen Unión - OSS País 1 - Base Imponible 3,5,all,base,both
aeat_mod369_map_line_0006,aeat_mod369_map,Régimen Unión - OSS País 1 - Cuota 3,6,all,amount,both
aeat_mod369_map_line_0007,aeat_mod369_map,Régimen Unión - OSS País 1 - Base Imponible 4,7,all,base,both
aeat_mod369_map_line_0008,aeat_mod369_map,Régimen Unión - OSS País 1 - Cuota 4,8,all,amount,both
aeat_mod369_map_line_0009,aeat_mod369_map,Régimen Unión - OSS País 2 - Base Imponible 1,9,all,base,both
aeat_mod369_map_line_0010,aeat_mod369_map,Régimen Unión - OSS País 2 - Cuota 1,10,all,amount,both
aeat_mod369_map_line_0011,aeat_mod369_map,Régimen Unión - OSS País 2 - Base Imponible 2,11,all,base,both
aeat_mod369_map_line_0012,aeat_mod369_map,Régimen Unión - OSS País 2 - Cuota 2,12,all,amount,both
aeat_mod369_map_line_0013,aeat_mod369_map,Régimen Unión - OSS País 2 - Base Imponible 3,13,all,base,both
aeat_mod369_map_line_0014,aeat_mod369_map,Régimen Unión - OSS País 2 - Cuota 3,14,all,amount,both
aeat_mod369_map_line_0015,aeat_mod369_map,Régimen Unión - OSS País 2 - Base Imponible 4,15,all,base,both
aeat_mod369_map_line_0016,aeat_mod369_map,Régimen Unión - OSS País 2 - Cuota 4,16,all,amount,both
aeat_mod369_map_line_0017,aeat_mod369_map,Régimen Unión - OSS País 3 - Base Imponible 1,17,all,base,both
aeat_mod369_map_line_0018,aeat_mod369_map,Régimen Unión - OSS País 3 - Cuota 1,18,all,amount,both
aeat_mod369_map_line_0019,aeat_mod369_map,Régimen Unión - OSS País 3 - Base Imponible 2,19,all,base,both
aeat_mod369_map_line_0020,aeat_mod369_map,Régimen Unión - OSS País 3 - Cuota 2,20,all,amount,both
aeat_mod369_map_line_0021,aeat_mod369_map,Régimen Unión - OSS País 3 - Base Imponible 3,21,all,base,both
aeat_mod369_map_line_0022,aeat_mod369_map,Régimen Unión - OSS País 3 - Cuota 3,22,all,amount,both
aeat_mod369_map_line_0023,aeat_mod369_map,Régimen Unión - OSS País 3 - Base Imponible 4,23,all,base,both
aeat_mod369_map_line_0024,aeat_mod369_map,Régimen Unión - OSS País 3 - Cuota 4,24,all,amount,both
aeat_mod369_map_line_0025,aeat_mod369_map,Régimen Unión - OSS País 4 - Base Imponible 1,25,all,base,both
aeat_mod369_map_line_0026,aeat_mod369_map,Régimen Unión - OSS País 4 - Cuota 1,26,all,amount,both
aeat_mod369_map_line_0027,aeat_mod369_map,Régimen Unión - OSS País 4 - Base Imponible 2,27,all,base,both
aeat_mod369_map_line_0028,aeat_mod369_map,Régimen Unión - OSS País 4 - Cuota 2,28,all,amount,both
aeat_mod369_map_line_0029,aeat_mod369_map,Régimen Unión - OSS País 4 - Base Imponible 3,29,all,base,both
aeat_mod369_map_line_0030,aeat_mod369_map,Régimen Unión - OSS País 4 - Cuota 3,30,all,amount,both
aeat_mod369_map_line_0031,aeat_mod369_map,Régimen Unión - OSS País 4 - Base Imponible 4,31,all,base,both
aeat_mod369_map_line_0032,aeat_mod369_map,Régimen Unión - OSS País 4 - Cuota 4,32,all,amount,both
aeat_mod369_map_line_0033,aeat_mod369_map,Régimen Unión - OSS País 5 - Base Imponible 1,33,all,base,both
aeat_mod369_map_line_0034,aeat_mod369_map,Régimen Unión - OSS País 5 - Cuota 1,34,all,amount,both
aeat_mod369_map_line_0035,aeat_mod369_map,Régimen Unión - OSS País 5 - Base Imponible 2,35,all,base,both
aeat_mod369_map_line_0036,aeat_mod369_map,Régimen Unión - OSS País 5 - Cuota 2,36,all,amount,both
aeat_mod369_map_line_0037,aeat_mod369_map,Régimen Unión - OSS País 5 - Base Imponible 3,37,all,base,both
aeat_mod369_map_line_0038,aeat_mod369_map,Régimen Unión - OSS País 5 - Cuota 3,38,all,amount,both
aeat_mod369_map_line_0039,aeat_mod369_map,Régimen Unión - OSS País 5 - Base Imponible 4,39,all,base,both
aeat_mod369_map_line_0040,aeat_mod369_map,Régimen Unión - OSS País 5 - Cuota 4,40,all,amount,both
aeat_mod369_map_line_0041,aeat_mod369_map,Régimen Unión - OSS País 6 - Base Imponible 1,41,all,base,both
aeat_mod369_map_line_0042,aeat_mod369_map,Régimen Unión - OSS País 6 - Cuota 1,42,all,amount,both
aeat_mod369_map_line_0043,aeat_mod369_map,Régimen Unión - OSS País 6 - Base Imponible 2,43,all,base,both
aeat_mod369_map_line_0044,aeat_mod369_map,Régimen Unión - OSS País 6 - Cuota 2,44,all,amount,both
aeat_mod369_map_line_0045,aeat_mod369_map,Régimen Unión - OSS País 6 - Base Imponible 3,45,all,base,both
aeat_mod369_map_line_0046,aeat_mod369_map,Régimen Unión - OSS País 6 - Cuota 3,46,all,amount,both
aeat_mod369_map_line_0047,aeat_mod369_map,Régimen Unión - OSS País 6 - Base Imponible 4,47,all,base,both
aeat_mod369_map_line_0048,aeat_mod369_map,Régimen Unión - OSS País 6 - Cuota 4,48,all,amount,both
aeat_mod369_map_line_0049,aeat_mod369_map,Régimen Unión - OSS País 7 - Base Imponible 1,49,all,base,both
aeat_mod369_map_line_0050,aeat_mod369_map,Régimen Unión - OSS País 7 - Cuota 1,50,all,amount,both
aeat_mod369_map_line_0051,aeat_mod369_map,Régimen Unión - OSS País 7 - Base Imponible 2,51,all,base,both
aeat_mod369_map_line_0052,aeat_mod369_map,Régimen Unión - OSS País 7 - Cuota 2,52,all,amount,both
aeat_mod369_map_line_0053,aeat_mod369_map,Régimen Unión - OSS País 7 - Base Imponible 3,53,all,base,both
aeat_mod369_map_line_0054,aeat_mod369_map,Régimen Unión - OSS País 7 - Cuota 3,54,all,amount,both
aeat_mod369_map_line_0055,aeat_mod369_map,Régimen Unión - OSS País 7 - Base Imponible 4,55,all,base,both
aeat_mod369_map_line_0056,aeat_mod369_map,Régimen Unión - OSS País 7 - Cuota 4,56,all,amount,both
