cnae_10_21,10.2,10.21,"Processing of fish, crustaceans and molluscs","Procesado de pescados, crustáceos y moluscos"
cnae_10_22,10.2,10.22,"Manufacture of preserved fish","Fabricación de conservas de pescado"
cnae_10_43,10.4,10.43,"Manufacture of olive oil","Fabricación de aceite de oliva"
cnae_10_44,10.4,10.44,"Manufacture of other oils and fats","Fabricación de otros aceites y grasas"
cnae_10_53,10.5,10.53,"Manufacture of cheeses","Fabricación de quesos"
cnae_10_54,10.5,10.54,"Manufacture of milk and other dairies","Preparación de leche y otros productos lácteos"
cnae_35_15,35.1,35.15,"Production of hydro-electric electricity","Producción de energía hidroeléctrica"
cnae_35_16,35.1,35.16,"Production of electric energy of conventional thermal origin","Producción de energía eléctrica de origen térmico convencional"
cnae_35_17,35.1,35.17,"Production of electric energy of nuclear origin","Producción de energía eléctrica de origen nuclear"
cnae_35_18,35.1,35.18,"Production of electric energy of eolian origin","Producción de energía eléctrica de origen eólico"
cnae_35_19,35.1,35.19,"Production of electric energy of other types","Producción de energía eléctrica de otros tipos"
cnae_41_21,41.2,41.21,"Construction of residential buildings","Construcción de edificios residenciales"
cnae_41_22,41.2,41.22,"Construction of non-residential buildings","Construcción de edificios no residenciales"
cnae_59_15,59.1,59.15,"Film and video production activities","Actividades de producción cinematográfica y de vídeo"
cnae_59_16,59.1,59.16,"Television programs production and distribution activities","Actividades de producción de programas de televisión"
cnae_59_17,59.1,59.17,"Film and video distribution activities","Actividades de distribución cinematográfica y de vídeo"
cnae_59_18,59.1,59.18,"Television programs distribution activities","Actividades de distribución de programas de televisión"
cnae_85_43,85.4,85.43,"University education","Educación universitaria"
cnae_85_44,85.4,85.44,"Non-university tertiary education","Educación terciaria no universitaria"
cnae_87_31,87.3,87.31,"Residential care activities for the elderly","Asistencia en establecimientos residenciales para personas mayores"
cnae_87_32,87.3,87.32,"Residential care activities for the disabled","Asistencia en establecimientos residenciales para personas con discapacidad física"
cnae_88_11,88.1,88.11,"Social work activities without accommodation for the elderly","Actividades de servicios sociales sin alojamiento para personas mayores"
cnae_88_12,88.1,88.12,"Social work activities without accommodation for the disabled","Actividades de servicios sociales sin alojamiento para personas con discapacidad"
cnae_91_05,91.0,91.05,"Library activities","Actividades de bibliotecas"
cnae_91_06,91.0,91.06,"Archives activities","Actividades archivos"
