<!--Interfaz usada => es.aeat.adtb.jdit.imp.tablas.htm.HtmTbElementoSrvImpl-->
Código;Descripción;Descripción larga;
A;Sujeción y no exención;Fabricación sujeta y no exenta de productos objeto del impuesto;
B;No sujeción artículo 73 a) Ley 7/2022, de 8 de abril;Fabricación de productos objeto del impuesto que, antes del devengo del impuesto, han dejado de ser adecuados para su utilización o han sido destruidos.;
C;No sujeción artículo 73 b) Ley 7/2022, de 8 de abril;Fabricación de productos objeto del impuesto destinados a ser enviados fuera del territorio español (directamente por el fabricante o por un tercero por su nombre o por su cuenta);
D;No sujeción artículo 73 c) Ley 7/2022, de 8 de abril;Fabricación de pinturas, tintas, lacas y adhesivos concebidos para ser incorporados a productos objeto del impuesto.;
E;No sujeción artículo 73 d) Ley 7/2022, de 8 de abril;Fabricación de envases del art. 68.1a) de la Ley no diseñados para ser entregados conjuntamente con las mercancías.;
F;Exención artículo 75 a) 1º Ley 7/2022, de 8 de abril;Fabricación de envases del art. 68.1a) de la Ley destinados a prestar su función en medicamentos, productos sanitarios, alimentos para usos médicos especiales, preparados para lactantes de uso hospitalario o residuos peligrosos de origen sanitario.;
G;Exención artículo 75 a) 2º Ley 7/2022, de 8 de abril;Fabricación de productos del art. 68.1b) de la Ley destinados a obtener envases del art. 68.1a) de la Ley para medicamentos, productos sanitarios, alimentos para usos médicos especiales, preparados para lactantes de uso hospitalario o residuos peligrosos de origen sanitario.;
H;Exención artículo 75 a) 3º Ley 7/2022, de 8 de abril;Fabricación de productos del art. 68.1c) de la Ley destinados a permitir el cierre, la comercialización o la presentación de envases no reutilizables para medicamentos, productos sanitarios, alimentos para usos médicos especiales, preparados para lactantes de uso hospitalario o residuos peligrosos de origen sanitario.;
I;Exención artículo 75 c) Ley 7/2022, de 8 de abril;La fabricación de rollos de plástico empleados en las pacas o balas para ensilado de forrajes o cereales de uso agrícola o ganadero.;
J;Exención artículo 75 g) 1º Ley 7/2022, de 8 de abril;Fabricación de productos del art. 68.1.b) de la Ley cuando no se vayan a destinar a obtener los envases del art. 68.1a) de la Ley.;
K;Exención artículo 75 g) 2º Ley 7/2022, de 8 de abril;Fabricación de productos del artículo 68.1c) de la Ley cuando no se vayan a utilizar para permitir el cierre, la comercialización o la presentación de envases no reutilizables.;
;;;
