COD_TIPO,COD_BE,ORD_TIPO,NOMBRE50,NOMBRE105,OBSERVACIONES,CODIGOCIF,SIGLAVIA,NOMBREVIA,NUMEROVIA,RESTODOM,CODPOSTAL,POBLACION,PROVINCIA,CODPAIS,SERVTASA,TELEFONO,PENDBAJA,NUMFAX,DIRINTERNET,FCHBAJA,MOTBAJA,CODENTSUC,FECHACTUALIZA,FECHAALTA,CODAUT,CODPROV,NOMCOMERCIAL,INDICATIVONC,BIC,NOMENTMATRIZ,DIRENTMATRIZ,LOCENTMATRIZ,CPENTMATRIZ,TELENTMATRIZ,FAXENTMATRIZ,INTERNETENTMATRIZ,COD_AUTONOMIA,NOMBRE105_ENT_SUC,NOMBRE35,ANAGRAMA
ST,4489,164301,VALENCIA TERRA VT SDAD.TASACIONES INMOBILIARIAS SA,"VALENCIA TERRA VT SOCIEDAD DE TASACIONES INMOBILIARIAS, S.A.",,A97215925,AV,MARQUES DE SOTELO,4,PL. 4,46002,VALENCIA,,ES,,963511125,,0,,,,0000,06/03/2008,06/08/2002,,46,,N,,,,,,,,,15,,"VALENCIA TERRA VT S.T.I., SA",VALENCIA TERRA
ST,4490,164301,"INNOTASA, S.A.","INNOTASA, S.A.",,A63130116,RB,DE CATALUÑA,18,PL. 5,8007,BARCELONA,,ES,,932170048,,934589586,,01/10/2010,POR FUSION POR ABSORCION POR,4416,01/10/2010,30/04/2003,,8,,N,,,,,,,,,9,"ARCO VALORACIONES, S.A.","INNOTASA, S.A.",INNOTASA
ST,4491,164301,"GLOBAL GESTION DE TASACIONES, S.A.","GLOBAL GESTION DE TASACIONES, S.A.",,A91250209,CL,VICENTE ALANIS,1,BAJO,41008,SEVILLA,,ES,,954988660,,954988670,,,,0000,06/03/2008,13/06/2003,,41,,N,,,,,,,,,1,,"GLOBAL GESTION DE TASACIONES, S.A.",GLOBAL TASACION
ST,4492,164301,"INTERVALOR CONSULTING GROUP, S.A.","INTERVALOR CONSULTING GROUP, S.A.",,A83729384,CL,HERMANOS BECQUER,4,PL. 5,28006,MADRID,,ES,,915421167,,915419472,,21/07/2008,POR RENUNCIA,0000,21/07/2008,28/10/2003,,28,,N,,,,,,,,,12,,"INTERVALOR CONSULTING GROUP, S.A.",INTERVALOR
ST,4493,164301,INFORMES Y VALORACIONES MEDITERRANEAS S.A.,INFORMES Y VALORACIONES MEDITERRANEAS SOCIEDAD ANONIMA,,A97465751,CL,PADILLA,6,PL. 4,46001,VALENCIA,,ES,,902121270,,963524871,,21/02/2006,POR RENUNCIA,0000,06/03/2008,05/10/2004,,46,INVAMESA,S,,,,,,,,,15,,INFORMES VALORACIONES MEDITERRANEAS,INVAMESA
ST,4494,164301,"TASASUR SOCIEDAD DE TASACIONES, S.A.","TASASUR SOCIEDAD DE TASACIONES, S.A.",,A14718183,AV,RONDA DE LOS TEJARES,21,PL.1,14008,CORDOBA,,ES,,954296820,,954238331,WWW.TASASUR.COM,,,0000,06/03/2008,11/10/2005,,14,,N,,,,,,,,,1,,"TASASUR SOCIEDAD DE TASACIONES, S.A","TASASUR,SA"
ST,4495,164301,"EBROTASA, S.A.","EBROTASA, S.A.",,A99160111,CL,SAN LORENZO,30,BAJO B,50001,ZARAGOZA,,ES,,976484830,,976484831,,,,0000,31/01/2011,14/06/2007,,50,,N,,,,,,,,,2,,"EBROTASA, S.A.","EBROTASA, S.A."
ST,4496,164301,"TASACIONES DEL MARCO DE ESPAÑA, S.A.","TASACIONES DEL MARCO DE ESPAÑA, SOCIEDAD ANONIMA",,A11860905,AV,DE EUROPA S/N. EDIFICIO 5,PL.2 D,URB. ENTRE PARQUES,11405,JEREZ DE LA FRONTERA,CADIZ,ES,,956318492,,956311958,WWW.TASAMAR.ES,,,0000,06/03/2008,11/09/2007,,11,,N,,,,,,,,,1,,"TASACIONES DEL MARCO DE ESPAÑA, S.A",TASAMAR
ST,4497,164301,"THADER VALORACIONES, S.A.","THADER VALORACIONES, S.A.",,A73598096,AV,PRINCIPAL,30-1,"EDIF. ARGOS, 3 A",30169,POL. IND. OESTE - MURCIA,,ES,,968938971,,968938972,,,,0000,03/10/2008,03/10/2008,,30,,N,,,,,,,,,13,,"THADER VALORACIONES, S.A.",THADER
ST,4498,164301,"INSTITUTO DE VALORACIONES, S.A.","INSTITUTO DE VALORACIONES, S.A.",,A85872646,AV,EUROPA -COMP. EMP. ATICA-,26,"ED. 5,PL.3 IZDA",28224,POZUELO DE ALARCON,MADRID,ES,,917159446,,917159446,WWW.IVALORACIONES.COM,,,0000,25/06/2010,25/06/2010,,28,,N,,,,,,,,,12,,"INSTITUTO DE VALORACIONES, S.A.",INST.VALOR
ST,4499,164301,"AESVAL, LOGICA DE VALORACIONES, S.A.","AESVAL, LOGICA DE VALORACIONES, S.A.",,A74290461,CL,FRUELA,12,"PL.1, 1 Y 2",33007,OVIEDO,ASTURIAS,ES,,985207640,,985209569,WWW.AESVAL.ES,,,0000,16/11/2010,16/11/2010,,33,,N,,,,,,,,,3,,"AESVAL, LOGICA DE VALORACIONES, SA","AESVAL, LOGICA"
ST,4630,164301,"CBRE VALUATION ADVISORY, S.A.","CBRE VALUATION ADVISORY, S.A.",,A85490217,PZ,PABLO RUIZ PICASSO,"1, PL. 27",EDIF. TORRE PICASSO,28020,MADRID,,ES,,915981900,,915560360,,,,0000,13/07/2011,14/04/2011,,28,,N,,,,,,,,,12,,"CBRE VALUATION ADVISORY, S.A.",CBRE VALUATION
ST,4631,164301,"UVE VALORACIONES, S.A.","UVE VALORACIONES, S.A.",,A86224169,CL,MARQUES DE LA ENSENADA,16,"PL. CLUB, OF. 24",28004,MADRID,,ES,,917024599,,0,,,,0000,07/06/2011,07/06/2011,,28,,N,,,,,,,,,12,,"UVE VALORACIONES, S.A.",UVE VALORACIONE
ST,4632,164301,"AGUIRRE NEWMAN VALORACIONES Y TASACIONES, S.A.","AGUIRRE NEWMAN VALORACIONES Y TASAC IONES, S.A.",,A86317567,CL,GENERAL LACY,23,,28045,MADRID,,ES,,913191314,,913198757,ASESORES@AGUIRRENEWMAN.ES,,,0000,18/11/2011,18/11/2011,,28,,N,,,,,,,,,12,,AGUIRRE NEWMAN VALORA. Y TASACIONES,AGUIRRE NEWMAN
BL,0002,900001,"BANCO AGRICOLA DE ARAGON, S.A.","BANCO AGRICOLA DE ARAGON, S.A.",,,PZ,INDEPENDENCIA,32,,50000,ZARAGOZA,,ES,,0,,0,,10/04/1969,POR FUSION POR ABSORCION POR,0016,06/03/2008,27/02/1938,,50,,N,,,,,,,,,2,"BANCO CENTRAL, S.A.","BANCO AGRICOLA DE ARAGON, S.A.",B. AGR. ARAGON
BL,0006,900001,"BANCO ARAGONES DE CREDITO, S.A.","BANCO ARAGONES DE CREDITO, S.A.",,,PS,INDEPENDENCIA,37,,50001,ZARAGOZA,,ES,,0,,0,,01/03/1969,POR FUSION POR ABSORCION POR,0066,06/03/2008,01/01/1906,,50,,N,,,,,,,,,2,"BANCO MERCANTIL E INDUSTRIAL, S.A.","BANCO ARAGONES DE CREDITO, S.A.",ARAGONES CTO.
BL,0012,900001,"BANCO DE CANARIAS, S.A.","BANCO DE CANARIAS, S.A.",,A35000017,CL,FERNANDO GUANARTEME,2,,35007,LAS PALMAS DE GRAN CANARIA,LAS PALMAS,ES,,0,,0,,25/03/1972,POR FUSION POR ABSORCION POR,0016,06/03/2008,12/12/1856,,35,,N,,,,,,,,,5,"BANCO CENTRAL, S.A.","BANCO DE CANARIAS, S.A.",BCO.CANARIAS
BL,0017,900001,"BANCO CID, S.A.","BANCO CID, S.A.",,,AV,JOSE ANTONIO,7,,32000,ORENSE,,ES,,0,,0,,21/12/1967,POR FUSION POR ABSORCION POR,0085,06/03/2008,20/07/1935,,32,,N,,,,,,,,,11,"BANCO DE SANTANDER, SOCIEDAD ANONIMA DE CREDITO","BANCO CID, S.A.","BANCO CID, S.A."
BL,0022,900001,"BANCO CONTINENTAL, S.A.","BANCO CONTINENTAL, S.A.",,,CL,PRINCIPE,21,,28012,MADRID,,ES,,0,,0,,06/07/1971,POR FUSION POR ABSORCION POR,0085,06/03/2008,27/12/1935,,28,,N,,,,,,,,,12,"BANCO DE SANTANDER, SOCIEDAD ANONIMA DE CREDITO","BANCO CONTINENTAL, S.A.",CONTINENTAL
BL,0025,900001,CREDITO Y DOCKS DE BARCELONA,CREDITO Y DOCKS DE BARCELONA,,A08000176,PS,GRACIA,7,,8007,BARCELONA,,ES,,0,,0,,24/04/1970,POR FUSION POR ABSORCION POR,0016,06/03/2008,31/10/1881,,8,,N,,,,,,,,,9,"BANCO CENTRAL, S.A.",CREDITO Y DOCKS DE BARCELONA,CREDITO Y DOCKS
BL,0026,900001,"BANCO DE CREDITO E INVERSIONES, S.A.","BANCO DE CREDITO E INVERSIONES, S.A.",,,CL,DIPUTACION,263,,8007,BARCELONA,,ES,,0,,0,,23/12/1964,POR FUSION POR ABSORCION POR,0046,06/03/2008,07/09/1910,,8,,N,,,,,,,,,9,"BANCO DE CREDITO E INVERSIONES, S.A.",BANCO DE CREDITO E INVERSIONES,CRTO.INVERSION
BL,0028,900001,"BANCO DE ELDA, S.A.","BANCO DE ELDA, S.A.",,,CL,GENERALISIMO FRANCO,28,,3600,ELDA,ALICANTE,ES,,0,,0,,16/12/1963,POR FUSION POR ABSORCION POR,0016,06/03/2008,16/12/1963,,3,,N,,,,,,,,,15,"BANCO CENTRAL, S.A.","BANCO DE ELDA, S.A.",BANCO DE ELDA
BL,0032,900001,"BANCO DE EXPANSION COMERCIAL, S.A.","BANCO DE EXPANSION COMERCIAL, S.A.",,,PZ,SAN JAIME,32,,8786,CAPELLADES,BARCELONA,ES,,0,,0,,25/02/1972,POR FUSION POR ABSORCION POR,0015,06/03/2008,27/02/1948,,8,,N,,,,,,,,,9,"BANCA CATALANA, S.A.","BANCO DE EXPANSION COMERCIAL, S.A.",EXP.COMERC.
BL,0033,900001,"BANCO COMERCIAL DE MENORCA, S.A.","BANCO COMERCIAL DE MENORCA, S.A.",,,CL,DEAN FEBRER,46,,7750,FERRERIAS,BALEARES,ES,,0,,0,,25/11/1966,ACUERDO DEL CONSEJO DE MINISTROS DE FECHA 12.11.1966,0000,06/03/2008,18/10/1908,,7,,N,,,,,,,,,4,,"BANCO COMERCIAL DE MENORCA, S.A.",B.COM. MENORCA
BL,0034,900001,"BANCO DE FOMENTO DE GERONA, S.A.","BANCO DE FOMENTO DE GERONA, S.A.",,,PZ,GENERALISIMO FRANCO,4,,17430,SANTA COLOMA DE FARNERS,GERONA,ES,,0,,0,,12/01/1968,POR FUSION POR ABSORCION POR,0085,06/03/2008,01/01/1893,,17,,N,,,,,,,,,9,"BANCO DE SANTANDER, SOCIEDAD ANONIMA DE CREDITO","BANCO DE FOMENTO DE GERONA, S.A.",FOMENTO GERONA
BL,0037,900001,"BANCO GARRIGA NOGUES, S.A.","BANCO GARRIGA NOGUES, S.A.",,A08060220,RB,RAMBLAS,140,,8002,BARCELONA,,ES,,0,,0,,23/12/1986,POR FUSION POR ABSORCION POR,0030,06/03/2008,17/03/1947,,8,,N,,,,,,,,,9,"BANCO ESPAÑOL DE CREDITO, S.A.","BANCO GARRIGA NOGUES, S.A.",GARRIGA NOGU
BL,0054,900001,BANCO DE IRUN,BANCO DE IRUN,,A20000709,CL,SAN MARCIAL,2,,20300,IRUN,GUIPUZCOA,ES,,0,,0,,29/12/1970,POR FUSION POR ABSORCION POR,0010,06/03/2008,13/04/1929,,20,,N,,,,,,,,,16,"BANCO DE BILBAO, S.A.",BANCO DE IRUN,BANCO DE IRUN
BL,0047,900001,"HIJOS DE SATURNINO ULARGUI, S.R.C.","HIJOS DE SATURNINO ULARGUI, S.R.C.",,,CL,BRETON DE LOS HERREROS,11,,26001,LOGROÑO,LA RIOJA,ES,,0,,0,,10/04/1963,POR FUSION POR ABSORCION POR,0005,06/03/2008,01/01/1860,,26,,N,,,,,,,,,17,BANCO DE ARAGON,"HIJOS DE SATURNINO ULARGUI, S.R.C.",HJ.DE S.ULARGUI
BL,0055,900001,"BANCO JAUDENES BARCENA, S.A.","BANCO JAUDENES BARCENA, S.A.",,,CL,COLON,16,,36201,VIGO,PONTEVEDRA,ES,,0,,0,,22/05/1968,POR FUSION POR ABSORCION POR,0085,06/03/2008,31/03/1923,,36,,N,,,,,,,,,11,"BANCO DE SANTANDER, SOCIEDAD ANONIMA DE CREDITO","BANCO JAUDENES BARCENA, S.A.",BANCO JAUDENES
BL,0060,900001,"BANCO DE MALAGA, S.A.","BANCO DE MALAGA, S.A.",,,CL,ATARAZANAS,2,,29005,MALAGA,,ES,,0,,0,,28/12/1972,POR FUSION POR ABSORCION POR,0008,06/03/2008,20/05/1918,,29,,N,,,,,,,,,1,"BANCO ATLANTICO, S.A.","BANCO DE MALAGA, S.A.",B.DE MALAGA
BL,0064,900001,"BANCO DE MATARO, S.A.","BANCO DE MATARO, S.A.",,,CL,SAN ANTONIO,15,,8301,MATARO,BARCELONA,ES,,0,,0,,18/05/1968,POR FUSION POR ABSORCION POR,0085,06/03/2008,01/03/1897,,8,,N,,,,,,,,,9,"BANCO DE SANTANDER, SOCIEDAD ANONIMA DE CREDITO","BANCO DE MATARO, S.A.",BANCO DE MATARO
BL,0070,900001,"BANCA NOGUEIRA, S.A.","BANCA NOGUEIRA, S.A.",,,CL,JOSE ANTONIO,11,,32400,RIBADAVIA,ORENSE,ES,,0,,0,,29/10/1971,POR FUSION POR ABSORCION POR,0016,06/03/2008,23/06/1922,,32,,N,,,,,,,,,11,"BANCO CENTRAL, S.A.","BANCA NOGUEIRA, S.A.",BCO.NOGUEIRA
BL,0071,900001,"BANCO MERCANTIL DE MANRESA, S.A.","BANCO MERCANTIL DE MANRESA, S.A.",,A08161333,CL,GUIMERA,30,,8240,MANRESA,BARCELONA,ES,,0,,0,,26/02/1980,POR FUSION POR ABSORCION POR,0015,06/03/2008,30/01/1907,,8,,N,,,,,,,,,9,"BANCA CATALANA, S.A.","BANCO MERCANTIL DE MANRESA, S.A.",MERC.MANRESA
BL,0090,900001,BANCO DE TOLOSA,BANCO DE TOLOSA,,A20000717,CL,SAN FRANCISCO,7,,20400,TOLOSA,GUIPUZCOA,ES,,0,,0,,31/07/1969,POR FUSION POR ABSORCION POR,0016,06/03/2008,07/02/1911,,20,,N,,,,,,,,,16,"BANCO CENTRAL, S.A.",BANCO DE TOLOSA,BANCO DE TOLOSA
BL,0117,900001,"BANCO DE NAVARRA, S.A.","BANCO DE NAVARRA, S.A.",,A31009533,CL,GARCIA XIMENEZ,4,,31002,PAMPLONA,NAVARRA,ES,,0,,0,,06/07/1979,POR ACUERDO DEL CONSEJO DE MINISTROS DE FECHA 12.05.1978,0000,06/03/2008,05/07/1964,,31,,N,,,,,,,,,14,,"BANCO DE NAVARRA, S.A.",B.DE NAVARRA
